Unique_client_ID,Race/Ethnicity,Gender,Age_group_at_assessment,TOTAL_SCORE,Housing_destination,is_perm_housed,Gender_Female,Race_Black,Race_Latino,Race_Asian,Age_Youth,Age_GenX,Age_Boomer,HISTORY_SUB_SCORE,RISKS_SUB_SCORE,SOCIALIZATION_SUB_SCORE,WELLNESS_SUB_SCORE,Housing_status,y_proba
7,Black,Female,60+,10,Permanently Housed,1,1,1,0,0,0,0,1,1,3,2,3,1,0.29161465
16,Black,Male,45-59,8,Permanently Housed,1,0,1,0,0,0,1,0,2,2,2,2,1,0.23380189
21,White,Female,,9,Permanently Housed,1,1,0,0,0,0,0,0,1,2,3,3,1,0.16158134
34,Latino,Male,60+,11,Permanently Housed,1,0,0,1,0,0,0,1,2,3,2,3,1,0.24725813
35,Black,Male,45-59,16,Permanently Housed,1,0,1,0,0,0,1,0,2,4,4,6,1,0.3696723
44,White,Female,45-59,14,Permanently Housed,1,1,0,0,0,0,1,0,2,4,2,6,1,0.22629301
47,Black,Female,60+,8,Permanently Housed,1,1,1,0,0,0,0,1,1,0,2,4,1,0.26032385
50,Latino,Male,45-59,12,Permanently Housed,1,0,0,1,0,0,1,0,2,2,2,6,1,0.19049996
54,Black,Female,45-59,13,Permanently Housed,1,1,1,0,0,0,1,0,2,4,2,5,1,0.26416016
55,White,Male,45-59,9,Permanently Housed,1,0,0,0,0,0,1,0,2,1,3,3,1,0.17260548
56,White,Male,45-59,16,Permanently Housed,1,0,0,0,0,0,1,0,2,4,4,6,1,0.25637382
61,White,Female,45-59,16,Permanently Housed,1,1,0,0,0,0,1,0,2,4,4,6,1,0.31471866
69,Latino,Female,45-59,9,Permanently Housed,1,1,0,1,0,0,1,0,2,1,1,5,1,0.1633484
70,White,Female,60+,10,Permanently Housed,1,1,0,0,0,0,0,1,2,2,3,2,1,0.23937495
71,Black,Female,45-59,9,Permanently Housed,1,1,1,0,0,0,1,0,2,3,2,2,1,0.2394882
75,White,Male,60+,14,Permanently Housed,1,0,0,0,0,0,0,1,2,3,4,4,1,0.27532208
76,Black,Male,45-59,13,Permanently Housed,1,0,1,0,0,0,1,0,2,4,3,4,1,0.27679196
93,White,Male,60+,12,Permanently Housed,1,0,0,0,0,0,0,1,2,3,3,3,1,0.28297943
100,Black,Male,45-59,8,Permanently Housed,1,0,1,0,0,0,1,0,2,3,3,0,1,0.24950373
102,White,Male,60+,14,Permanently Housed,1,0,0,0,0,0,0,1,2,4,3,4,1,0.2536961
107,Latino,Female,45-59,14,Permanently Housed,1,1,0,1,0,0,1,0,2,4,4,3,1,0.2541384
108,Black,Male,18-24,10,Permanently Housed,1,0,1,0,0,1,0,0,2,4,3,1,1,0.18587388
113,Black,Female,45-59,6,Permanently Housed,1,1,1,0,0,0,1,0,2,0,2,2,1,0.2410491
114,White,Male,18-24,8,Permanently Housed,1,0,0,0,0,1,0,0,2,2,3,1,1,0.18304615
118,Black,Male,60+,13,Permanently Housed,1,0,1,0,0,0,0,1,2,3,4,3,1,0.2689499
124,Latino,Female,45-59,4,Permanently Housed,1,1,0,1,0,0,1,0,0,0,2,2,1,0.28702185
133,White,Male,45-59,14,Permanently Housed,1,0,0,0,0,0,1,0,2,3,3,6,1,0.20069927
136,Black,Female,45-59,3,Permanently Housed,1,1,1,0,0,0,1,0,1,0,0,2,1,0.26621732
153,Black,Male,60+,2,Permanently Housed,1,0,1,0,0,0,0,1,0,0,1,0,1,0.27054623
155,Black,Male,60+,13,Permanently Housed,1,0,1,0,0,0,0,1,2,3,3,4,1,0.27092445
156,Black,Male,18-24,3,Permanently Housed,1,0,1,0,0,1,0,0,1,0,2,0,1,0.27299923
158,Black,Male,45-59,11,Permanently Housed,1,0,1,0,0,0,1,0,1,4,2,4,1,0.3090892
166,Black,Male,45-59,5,Permanently Housed,1,0,1,0,0,0,1,0,1,2,1,1,1,0.24817967
169,White,Male,45-59,12,Permanently Housed,1,0,0,0,0,0,1,0,1,3,3,5,1,0.26185557
174,Latino,Male,,5,Permanently Housed,1,0,0,1,0,0,0,0,2,0,3,0,1,0.13061345
179,White,Female,45-59,10,Permanently Housed,1,1,0,0,0,0,1,0,0,3,3,4,1,0.22230062
181,Latino,Female,,11,Permanently Housed,1,1,0,1,0,0,0,0,2,4,2,3,1,0.12914556
188,Latino,Male,45-59,15,Permanently Housed,1,0,0,1,0,0,1,0,2,3,4,6,1,0.19128641
193,Black,Female,60+,14,Permanently Housed,1,1,1,0,0,0,0,1,1,4,3,5,1,0.3732887
194,Black,Male,,5,Permanently Housed,1,0,1,0,0,0,0,0,1,0,3,1,1,0.21451636
196,Black,Female,,14,Permanently Housed,1,1,1,0,0,0,0,0,2,3,4,5,1,0.24253853
202,White,Male,45-59,10,Permanently Housed,1,0,0,0,0,0,1,0,1,1,3,5,1,0.26618242
204,Black,Male,45-59,6,Permanently Housed,1,0,1,0,0,0,1,0,2,1,3,0,1,0.166199
207,Black,Male,45-59,8,Permanently Housed,1,0,1,0,0,0,1,0,2,2,2,2,1,0.23380189
213,White,Male,60+,14,Permanently Housed,1,0,0,0,0,0,0,1,2,3,4,4,1,0.27532208
217,Black,Female,60+,9,Permanently Housed,1,1,1,0,0,0,0,1,1,1,2,4,1,0.26816994
218,Black,Male,45-59,13,Permanently Housed,1,0,1,0,0,0,1,0,2,4,4,3,1,0.24866617
219,Black,Male,60+,9,Permanently Housed,1,0,1,0,0,0,0,1,1,2,2,3,1,0.35547858
221,Black,Female,,3,Permanently Housed,1,1,1,0,0,0,0,0,1,0,1,1,1,0.31069773
222,Latino,Female,45-59,8,Permanently Housed,1,1,0,1,0,0,1,0,2,1,3,2,1,0.18745004
223,Black,Female,,8,Permanently Housed,1,1,1,0,0,0,0,0,2,1,2,3,1,0.21128905
226,Black,Male,60+,12,Permanently Housed,1,0,1,0,0,0,0,1,2,3,2,4,1,0.2814698
228,White,Male,60+,11,Permanently Housed,1,0,0,0,0,0,0,1,2,3,2,3,1,0.2387392
236,Latino,Male,45-59,13,Permanently Housed,1,0,0,1,0,0,1,0,0,3,3,6,1,0.27190557
239,Latino,Male,60+,15,Permanently Housed,1,0,0,1,0,0,0,1,2,4,4,4,1,0.3148607
249,White,Female,60+,6,Permanently Housed,1,1,0,0,0,0,0,1,2,1,1,1,1,0.20132597
254,Black,Female,18-24,6,Permanently Housed,1,1,1,0,0,1,0,0,1,2,3,0,1,0.27675194
255,Black,Male,45-59,5,Permanently Housed,1,0,1,0,0,0,1,0,1,2,1,1,1,0.24817967
259,Black,Female,,13,Permanently Housed,1,1,1,0,0,0,0,0,2,3,2,6,1,0.1607199
263,Black,Male,,4,Permanently Housed,1,0,1,0,0,0,0,0,1,0,1,2,1,0.25058398
265,Latino,Male,60+,5,Permanently Housed,1,0,0,1,0,0,0,1,2,1,1,0,1,0.13035019
270,Black,Female,18-24,15,Permanently Housed,1,1,1,0,0,1,0,0,2,3,5,5,1,0.28024867
276,Latino,Female,45-59,14,Permanently Housed,1,1,0,1,0,0,1,0,2,4,3,5,1,0.26107028
282,Black,Male,60+,13,Permanently Housed,1,0,1,0,0,0,0,1,2,3,2,5,1,0.26863357
284,Black,Female,45-59,7,Permanently Housed,1,1,1,0,0,0,1,0,1,1,3,2,1,0.29110476
285,Black,Male,18-24,12,Permanently Housed,1,0,1,0,0,1,0,0,2,2,5,3,1,0.3617949
290,Black,Male,60+,9,Permanently Housed,1,0,1,0,0,0,0,1,2,2,0,4,1,0.25082195
292,Black,Male,60+,16,Permanently Housed,1,0,1,0,0,0,0,1,2,4,3,6,1,0.36947638
320,Black,Male,45-59,10,Permanently Housed,1,0,1,0,0,0,1,0,2,1,2,5,1,0.21504474
321,Black,Male,,10,Permanently Housed,1,0,1,0,0,0,0,0,2,2,2,4,1,0.1428951
322,Black,Male,60+,15,Permanently Housed,1,0,1,0,0,0,0,1,2,4,4,4,1,0.38573703
329,Black,Female,45-59,6,Permanently Housed,1,1,1,0,0,0,1,0,2,1,2,1,1,0.23916529
330,Black,Female,18-24,3,Permanently Housed,1,1,1,0,0,1,0,0,2,1,0,0,1,0.25157318
331,Latino,Female,45-59,15,Permanently Housed,1,1,0,1,0,0,1,0,1,4,4,6,1,0.3006073
337,Black,Male,60+,11,Permanently Housed,1,0,1,0,0,0,0,1,2,3,2,3,1,0.28473848
338,Black,Male,45-59,8,Permanently Housed,1,0,1,0,0,0,1,0,1,3,3,1,1,0.28718105
344,Black,Female,,15,Permanently Housed,1,1,1,0,0,0,0,0,2,4,3,6,1,0.21608421
345,Black,Male,,10,Permanently Housed,1,0,1,0,0,0,0,0,1,3,2,4,1,0.20998095
349,Black,Male,,9,Permanently Housed,1,0,1,0,0,0,0,0,2,2,1,4,1,0.14745228
350,Latino,Male,,16,Permanently Housed,1,0,0,1,0,0,0,0,2,4,4,6,1,0.19989863
352,Black,Female,45-59,8,Permanently Housed,1,1,1,0,0,0,1,0,1,1,3,3,1,0.31711507
354,Black,Male,45-59,11,Permanently Housed,1,0,1,0,0,0,1,0,2,2,4,3,1,0.22814801
355,Black,Male,45-59,9,Permanently Housed,1,0,1,0,0,0,1,0,1,2,3,3,1,0.3107867
360,Latino,Female,,10,Permanently Housed,1,1,0,1,0,0,0,0,2,1,4,3,1,0.15527977
362,Black,Female,45-59,10,Permanently Housed,1,1,1,0,0,0,1,0,2,2,4,2,1,0.25497898
368,Black,Male,,5,Permanently Housed,1,0,1,0,0,0,0,0,1,0,2,2,1,0.23607208
369,Black,Female,45-59,8,Permanently Housed,1,1,1,0,0,0,1,0,0,3,2,3,1,0.2824552
376,Black,Male,45-59,13,Permanently Housed,1,0,1,0,0,0,1,0,2,2,4,5,1,0.22959782
379,Black,Male,45-59,14,Permanently Housed,1,0,1,0,0,0,1,0,2,4,4,4,1,0.30783054
393,Black,Male,45-59,11,Permanently Housed,1,0,1,0,0,0,1,0,2,4,3,2,1,0.27884516
400,Black,Male,60+,11,Permanently Housed,1,0,1,0,0,0,0,1,2,4,2,2,1,0.29323566
411,White,Female,45-59,1,Permanently Housed,1,1,0,0,0,0,1,0,0,0,0,0,1,0.3634951
413,Black,Male,60+,8,Permanently Housed,1,0,1,0,0,0,0,1,2,0,2,3,1,0.28553504
414,Black,Male,,6,Permanently Housed,1,0,1,0,0,0,0,0,2,1,1,2,1,0.13679078
416,Black,Female,45-59,7,Permanently Housed,1,1,1,0,0,0,1,0,2,1,1,3,1,0.22921969
429,Black,Female,45-59,8,Permanently Housed,1,1,1,0,0,0,1,0,1,2,3,2,1,0.31122014
438,White,Male,45-59,7,Permanently Housed,1,0,0,0,0,0,1,0,2,1,4,0,1,0.11174472
439,Black,Male,60+,12,Permanently Housed,1,0,1,0,0,0,0,1,2,3,2,4,1,0.2814698
440,White,Male,60+,10,Permanently Housed,1,0,0,0,0,0,0,1,2,1,2,4,1,0.22330223
444,Latino,Female,45-59,12,Permanently Housed,1,1,0,1,0,0,1,0,2,3,4,3,1,0.18580125
445,Black,Male,45-59,8,Permanently Housed,1,0,1,0,0,0,1,0,2,1,3,2,1,0.23152004
447,Black,Male,60+,10,Permanently Housed,1,0,1,0,0,0,0,1,1,2,1,5,1,0.32437664
456,Latino,Male,45-59,9,Permanently Housed,1,0,0,1,0,0,1,0,2,0,4,3,1,0.1666253
460,Black,Male,60+,13,Permanently Housed,1,0,1,0,0,0,0,1,2,2,2,6,1,0.25285393
462,White,Male,45-59,11,Permanently Housed,1,0,0,0,0,0,1,0,2,4,2,3,1,0.17667024
463,Latino,Male,45-59,8,Permanently Housed,1,0,0,1,0,0,1,0,2,2,2,2,1,0.13986646
465,Black,Male,60+,10,Permanently Housed,1,0,1,0,0,0,0,1,2,2,2,3,1,0.26669094
466,White,Male,45-59,9,Permanently Housed,1,0,0,0,0,0,1,0,2,1,1,5,1,0.16949107
467,Latino,Male,45-59,5,Permanently Housed,1,0,0,1,0,0,1,0,2,1,2,0,1,0.10519218
468,Latino,Male,,15,Permanently Housed,1,0,0,1,0,0,0,0,2,4,4,5,1,0.1924511
472,Black,Male,18-24,4,Permanently Housed,1,0,1,0,0,1,0,0,1,1,1,1,1,0.3248766
474,Black,Male,45-59,13,Permanently Housed,1,0,1,0,0,0,1,0,1,3,3,6,1,0.3636242
475,Latino,Female,45-59,13,Permanently Housed,1,1,0,1,0,0,1,0,2,4,3,4,1,0.23766881
490,Black,Female,,12,Permanently Housed,1,1,1,0,0,0,0,0,2,4,2,4,1,0.16360892
491,Black,Male,60+,5,Permanently Housed,1,0,1,0,0,0,0,1,1,3,0,0,1,0.39940444
493,Black,Male,45-59,15,Permanently Housed,1,0,1,0,0,0,1,0,2,4,4,5,1,0.3735728
494,Black,Male,45-59,9,Permanently Housed,1,0,1,0,0,0,1,0,1,4,2,2,1,0.27905688
495,Black,Female,,4,Permanently Housed,1,1,1,0,0,0,0,0,0,0,3,1,1,0.2432154
498,White,Male,,15,Permanently Housed,1,0,0,0,0,0,0,0,1,4,4,6,1,0.23931994
499,Latino,Male,,3,Permanently Housed,1,0,0,1,0,0,0,0,1,0,2,0,1,0.14996743
500,Black,Male,60+,10,Permanently Housed,1,0,1,0,0,0,0,1,2,2,2,3,1,0.26669094
506,Black,Female,45-59,9,Permanently Housed,1,1,1,0,0,0,1,0,2,2,3,2,1,0.2413729
511,Latino,Female,45-59,11,Permanently Housed,1,1,0,1,0,0,1,0,2,2,3,4,1,0.20144771
516,White,Female,60+,7,Permanently Housed,1,1,0,0,0,0,0,1,2,1,1,2,1,0.18692501
518,Black,Male,45-59,14,Permanently Housed,1,0,1,0,0,0,1,0,2,2,4,6,1,0.22612631
522,Black,Male,60+,12,Permanently Housed,1,0,1,0,0,0,0,1,2,2,3,4,1,0.29531804
523,Black,Male,60+,5,Permanently Housed,1,0,1,0,0,0,0,1,1,0,3,0,1,0.31083533
527,Black,Female,60+,15,Permanently Housed,1,1,1,0,0,0,0,1,2,3,4,5,1,0.37818903
533,White,Male,60+,5,Permanently Housed,1,0,0,0,0,0,0,1,2,1,1,0,1,0.17094605
547,Black,Male,60+,8,Permanently Housed,1,0,1,0,0,0,0,1,2,0,2,3,1,0.28553504
550,Latino,Male,45-59,15,Permanently Housed,1,0,0,1,0,0,1,0,2,4,3,6,1,0.2402082
552,Black,Female,,7,Permanently Housed,1,1,1,0,0,0,0,0,2,0,2,3,1,0.21129556
553,Black,Male,45-59,10,Permanently Housed,1,0,1,0,0,0,1,0,2,3,3,2,1,0.23772681
557,Black,Female,45-59,9,Permanently Housed,1,1,1,0,0,0,1,0,2,0,2,5,1,0.21671456
561,White,Male,45-59,8,Permanently Housed,1,0,0,0,0,0,1,0,1,2,2,3,1,0.25563726
562,Black,Male,60+,5,Permanently Housed,1,0,1,0,0,0,0,1,1,2,1,0,1,0.26122725
565,Asian,Female,,4,Permanently Housed,1,1,0,0,1,0,0,0,1,0,3,0,1,0.28055587
569,Black,Male,18-24,5,Permanently Housed,1,0,1,0,0,1,0,0,1,1,2,1,1,0.26033512
571,Latino,Female,45-59,8,Permanently Housed,1,1,0,1,0,0,1,0,2,2,2,2,1,0.16689946
577,Black,Male,18-24,9,Permanently Housed,1,0,1,0,0,1,0,0,1,3,3,2,1,0.2847466
578,Black,Male,45-59,3,Permanently Housed,1,0,1,0,0,0,1,0,1,0,2,0,1,0.2477907
607,Latino,Female,45-59,13,Permanently Housed,1,1,0,1,0,0,1,0,1,3,3,6,1,0.2447071
618,White,Female,45-59,6,Permanently Housed,1,1,0,0,0,0,1,0,1,2,1,2,1,0.20265146
619,Black,Male,18-24,6,Permanently Housed,1,0,1,0,0,1,0,0,1,0,4,1,1,0.22691661
625,Black,Male,,5,Permanently Housed,1,0,1,0,0,0,0,0,2,1,1,1,1,0.15626474
638,Latino,Male,45-59,9,Permanently Housed,1,0,0,1,0,0,1,0,2,1,4,2,1,0.13495612
639,Black,Male,45-59,8,Permanently Housed,1,0,1,0,0,0,1,0,1,3,1,3,1,0.28227967
