Unique_client_ID,y_proba,Race/Ethnicity,SPA,Gender,Age_group_at_assessment,Intervention,InterventionYear,AssessmentYear,TOTAL_SCORE,HISTORY_SUB_SCORE,RISKS_SUB_SCORE,SOCIALIZATION_SUB_SCORE,WELLNESS_SUB_SCORE
26877,0.038428586,Black,6,Female,25-44,Permanently Housed,,2020,16,2,4,4,6
4,0.091623632,White,4,Male,45-59,"Currently active in ""Services Only"" program",,2018,12,2,3,2,5
26419,0.098949475,Black,4,Male,18-24,Exited to a temporary destination,2019,2018,13,2,4,2,5
13,0.03545607,White,4,Male,45-59,Deceased,2020,2019,16,2,4,4,6
11443,0.058056588,Black,2,Male,25-44,Permanently Housed,,2021,13,2,3,4,4
9515,0.933692285,Black,6,Male,45-59,Exited to an other or unknown destination,2022,2017,0,0,0,0,0
19964,0.037954733,Latino,8,Female,45-59,Permanently Housed,2022,2019,16,2,4,4,6
84,0.264732397,White,1,Male,45-59,Exited to an other or unknown destination,2020,2019,6,2,1,1,2
9479,0.533402452,Black,8,Female,25-44,Exited to an other or unknown destination,2022,2020,9,0,4,3,2
29,0.515815554,Latino,6,Male,25-44,Exited to an other or unknown destination,2021,2018,4,1,0,1,2
3198,0.532921615,Black,2,Male,45-59,Deceased,2021,2020,7,1,2,1,3
32,0.159298959,Latino,4,Female,45-59,Exited to an other or unknown destination,2022,2018,9,2,2,2,3
36,0.262213192,Black,6,Female,60+,Exited to a place not meant for habitation,2021,2021,9,2,1,1,4
16090,0.453522809,White,4,Male,25-44,Permanently Housed,2021,2020,4,1,0,3,0
39,0.498411479,Black,6,Female,45-59,"Currently active in ""Emergency Shelter"" program",,2020,3,2,0,1,0
45,0.128298801,Latino,3,Female,25-44,Exited to a place not meant for habitation,2022,2018,8,2,1,3,2
10603,0.183928663,Latino,3,Male,25-44,Exited to an other or unknown destination,2018,2018,10,1,3,3,3
47,0.545170364,Black,2,Female,60+,Permanently Housed,2021,2020,8,1,0,2,4
22242,0.10570434,Black,6,Female,45-59,"Matched to Permanent Housing, Not Yet Housed",2022,2020,13,2,3,3,5
48,0.599600342,Black,5,Male,45-59,Assessed Only,,2017,6,1,1,1,3
56,0.03545607,White,3,Male,45-59,Permanently Housed,2020,2019,16,2,4,4,6
61,0.040048997,White,3,Female,45-59,Permanently Housed,,2018,16,2,4,4,6
10412,0.387624875,Black,6,Male,60+,"Currently active in ""Street Outreach"" program",,2019,5,2,0,1,1
62,0.061199575,Latino,2,Male,25-44,Exited to an other or unknown destination,2021,2021,11,2,3,3,3
63,0.118567089,White,7,Male,45-59,Exited to an other or unknown destination,2020,2019,10,2,3,2,3
12153,0.088709943,Black,1,Female,25-44,Permanently Housed,,2019,13,2,4,1,6
24844,0.051027849,Black,4,Female,25-44,"Matched to Permanent Housing, Not Yet Housed",2022,2021,15,2,4,3,6
68,0.630908308,Black,7,Male,60+,"Currently active in ""Street Outreach"" program",,2016,5,1,2,0,1
71,0.196742161,Black,3,Female,45-59,Permanently Housed,,2018,9,2,3,2,2
26732,0.273427298,Black,6,Male,18-24,"Matched to Permanent Housing, Not Yet Housed",,2022,11,1,4,3,3
75,0.050981805,White,,Male,60+,Permanently Housed,,2022,14,2,3,4,4
77,0.078510731,White,3,Male,45-59,"Matched to Permanent Housing, Not Yet Housed",2019,2017,13,2,2,3,6
80,0.121952063,Black,3,Male,45-59,"Matched to Permanent Housing, Not Yet Housed",2019,2017,11,2,3,3,3
26701,0.761181753,Black,6,Female,25-44,Exited to an other or unknown destination,2022,2020,1,1,0,0,0
82,0.157891732,Black,4,Male,25-44,Exited to an other or unknown destination,2022,2018,9,2,0,3,4
88,0.139282315,Black,,Male,45-59,Assessed Only,,2018,11,2,3,2,4
4643,0.156950487,Black,4,Male,45-59,Exited to a place not meant for habitation,2022,2016,11,2,3,3,2
89,0.530715664,Black,6,Male,45-59,Exited to an other or unknown destination,2018,2018,6,1,2,2,1
15924,0.053029981,White,2,Male,45-59,Permanently Housed,2020,2018,16,2,3,4,6
20061,0.318391098,Black,8,Male,60+,Permanently Housed,2020,2018,11,1,3,2,4
92,0.660800452,Black,7,Male,45-59,"Matched to Permanent Housing, Not Yet Housed",,2021,4,1,0,2,1
25415,0.05783603,Latino,6,Male,45-59,Permanently Housed,2022,2020,14,2,3,3,6
97,0.193063258,Black,3,Male,45-59,Assessed Only,,2019,9,2,1,3,3
100,0.176212245,Black,2,Male,45-59,Permanently Housed,,2021,8,2,3,3,0
103,0.128083775,Latino,4,Male,45-59,"Currently active in ""Street Outreach"" program",,2022,9,2,3,2,2
105,0.060957794,White,3,Male,45-59,Exited to an other or unknown destination,2019,2019,14,2,3,3,6
108,0.126760317,Black,3,Male,18-24,Permanently Housed,2019,2016,10,2,4,3,1
10687,0.089213172,Black,3,Male,60+,Permanently Housed,,2019,13,2,2,4,4
17014,0.338962188,Black,2,Male,45-59,Permanently Housed,,2018,6,2,2,0,2
119,0.437319043,Black,6,Male,45-59,Exited to an other or unknown destination,2017,2017,4,2,1,0,1
122,0.529411318,White,2,Female,25-44,Exited to a place not meant for habitation,2018,2017,4,1,1,1,1
28952,0.144485184,Black,4,Female,25-44,"Matched to Permanent Housing, Not Yet Housed",,2022,9,2,3,2,2
